"event","experiment time","system time","system time text"
"START",0.000000000E0,1677610745.183,"2023-02-28 13:59:05.183 UTC-05:00"
"PAUSE",3.268844660E1,1677610777.872,"2023-02-28 13:59:37.872 UTC-05:00"
