"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.676583378741599E9,"2023-02-16 16:36:18.742 UTC-05:00"
"PAUSE",3.698509779166488E1,1.676583415726223E9,"2023-02-16 16:36:55.726 UTC-05:00"
