"event","experiment time","system time","system time text"
"START",0.000000000E0,1677789062.331,"2023-03-02 15:31:02.331 UTC-05:00"
"PAUSE",3.578816519E1,1677789098.119,"2023-03-02 15:31:38.119 UTC-05:00"
