"event","experiment time","system time","system time text"
"START",0.000000000E0,1677610835.192,"2023-02-28 14:00:35.192 UTC-05:00"
"PAUSE",3.216319603E1,1677610867.355,"2023-02-28 14:01:07.355 UTC-05:00"
