"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.676583638251641E9,"2023-02-16 16:40:38.252 UTC-05:00"
"PAUSE",4.486752145833088E1,1.676583683118589E9,"2023-02-16 16:41:23.119 UTC-05:00"
