"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677537835004286E9,"2023-02-27 17:43:55.004 UTC-05:00"
"PAUSE",4.262024958326947E1,1.677537877624571E9,"2023-02-27 17:44:37.625 UTC-05:00"
