"event","experiment time","system time","system time text"
"START",0.000000000E0,1677789126.055,"2023-03-02 15:32:06.055 UTC-05:00"
"PAUSE",3.776641040E1,1677789163.821,"2023-03-02 15:32:43.821 UTC-05:00"
