"event","experiment time","system time","system time text"
"START",0.000000000E0,1677610475.289,"2023-02-28 13:54:35.289 UTC-05:00"
"PAUSE",3.402001738E1,1677610509.309,"2023-02-28 13:55:09.309 UTC-05:00"
