"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677537553460048E9,"2023-02-27 17:39:13.460 UTC-05:00"
"PAUSE",3.267805408325512E1,1.677537586137761E9,"2023-02-27 17:39:46.138 UTC-05:00"
