"event","experiment time","system time","system time text"
"START",0.000000000E0,1677610388.866,"2023-02-28 13:53:08.866 UTC-05:00"
"PAUSE",3.669126233E1,1677610425.557,"2023-02-28 13:53:45.557 UTC-05:00"
