"event","experiment time","system time","system time text"
"START",0.000000000E0,1679414324.759,"2023-03-21 11:58:44.759 UTC-04:00"
"PAUSE",3.550826165E1,1679414360.267,"2023-03-21 11:59:20.267 UTC-04:00"
