"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677537719876638E9,"2023-02-27 17:41:59.877 UTC-05:00"
"PAUSE",3.490361075010151E1,1.677537754780278E9,"2023-02-27 17:42:34.780 UTC-05:00"
