"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.676583219901644E9,"2023-02-16 16:33:39.902 UTC-05:00"
"PAUSE",4.285282725000070E1,1.676583262753923E9,"2023-02-16 16:34:22.754 UTC-05:00"
