"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678240480875613E9,"2023-03-07 20:54:40.876 UTC-05:00"
"PAUSE",3.490806329168845E1,1.678240515783679E9,"2023-03-07 20:55:15.784 UTC-05:00"
