"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678240144857306E9,"2023-03-07 20:49:04.857 UTC-05:00"
"PAUSE",4.446876720833825E1,1.678240189326075E9,"2023-03-07 20:49:49.326 UTC-05:00"
