"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678240296454629E9,"2023-03-07 20:51:36.455 UTC-05:00"
"PAUSE",4.341413583332906E1,1.678240339868767E9,"2023-03-07 20:52:19.869 UTC-05:00"
