"event","experiment time","system time","system time text"
"START",0.000000000E0,1677788987.636,"2023-03-02 15:29:47.636 UTC-05:00"
"PAUSE",3.455654259E1,1677789022.192,"2023-03-02 15:30:22.192 UTC-05:00"
