"event","experiment time","system time","system time text"
"START",0.000000000E0,1677610992.288,"2023-02-28 14:03:12.288 UTC-05:00"
"PAUSE",3.482382217E1,1677611027.112,"2023-02-28 14:03:47.112 UTC-05:00"
