"event","experiment time","system time","system time text"
"START",0.000000000E0,1677610605.202,"2023-02-28 13:56:45.202 UTC-05:00"
"PAUSE",3.439676275E1,1677610639.598,"2023-02-28 13:57:19.598 UTC-05:00"
