"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677537246934381E9,"2023-02-27 17:34:06.934 UTC-05:00"
"PAUSE",7.268533829168882E1,1.677537319620000E9,"2023-02-27 17:35:19.620 UTC-05:00"
