"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.676583548345252E9,"2023-02-16 16:39:08.345 UTC-05:00"
"PAUSE",5.802134404166645E1,1.676583606365853E9,"2023-02-16 16:40:06.366 UTC-05:00"
