x-g,y-g,z-g,label
0.0341053471,0.9812195045,-0.8734599978,walking
0.19419714155,0.78137395265,-1.2004669949,walking
0.46555141203333333,0.6556079453333333,-1.4636305832666665,walking
0.649233018525,0.60662479655,-1.5450534997,walking
0.7264301230200001,0.56204056658,-1.4772116771600001,walking
0.6770335565833334,0.5481046441333334,-1.30126441685,walking
0.492852243,0.6078628400571429,-0.9454630290142857,walking
0.25453344525,0.676200669425,-0.49727455488749994,walking
0.06030611944444445,0.7013970363333333,-0.1525576895666666,walking
-0.05881087109999998,0.7260126902599999,-0.027891101709999956,walking
-0.06943694832727271,0.7599161595999999,-0.10983027153636359,walking
0.0026866981500000184,0.7869057110500001,-0.29713941957499995,walking
0.09616872852307694,0.8032786345307692,-0.4836774957615384,walking
0.16925534198571432,0.8346947122071429,-0.6319606775642858,walking
0.19172813524,0.8830367819933334,-0.72003241146,walking
0.16816271534375002,0.92282518905625,-0.74522525949375,walking
0.12578387571764707,0.9345830583470588,-0.7187289134705882,walking
0.06873401188333333,0.9308570625277777,-0.6426935249722221,walking
0.034446378263157905,0.9039951427421052,-0.5783890307105263,walking
0.007275036285000008,0.90068207573,-0.544488774702,walking
-0.07701094515714287,0.9274178393142857,-0.6143670878590476,walking
-0.07008748096227271,0.9402747622545454,-0.7140472511381818,walking
-0.027456106355217384,0.9480235646782609,-0.7592757739147826,walking
-0.04343771339458333,0.9371347144416666,-0.72871465938375,walking
-0.06965813732679998,0.904818188488,-0.6732330905403999,walking
-0.08016213984279999,0.873521001792,-0.6134451701604,walking
-0.08804797261479999,0.87277587356,-0.49301888696039997,walking
-0.1165837824748,0.904244734492,-0.2989334506404,walking
-0.1422040770828,0.9332264004039998,-0.09983648276039998,walking
-0.1648657390228,0.9106760694480001,0.020105323519600003,walking
-0.1558060513948,0.817231464692,0.052025811711600006,walking
-0.04070485673479998,0.653199266708,-0.058644415528399996,walking
0.1323282117052,0.484355488508,-0.27262837108840005,walking
0.28599636030520004,0.42787795757599995,-0.5026139807683999,walking
0.4185795895452,0.464063451632,-0.6338881120084,walking
0.4812344406892,0.5013393637119999,-0.6596063650163999,walking
0.4841049382572,0.4937350772879999,-0.6593756338964001,walking
0.4663847465852,0.447092177168,-0.6890348868164,walking
0.4589254009372,0.35538239448799996,-0.7591208064564,walking
0.4933728861452,0.23685186048799994,-0.8651569282163999,walking
0.5661898940292001,0.10074222224799996,-1.0246133992564,walking
0.6505146433212,0.029000944159999945,-1.1988448253324,walking
0.7696950661331999,0.017569427059999945,-1.3939275159924,walking
0.9011546418092,0.00038522039495994537,-1.6063498907523999,walking
1.0083421592612,-0.06828681911304006,-1.7945363284907998,walking
1.1404007412212,-0.18972607391304006,-1.8902036996508003,walking
1.208788904256,-0.32478438275304006,-1.9604072418908,walking
1.2571910269359998,-0.46312768079304006,-2.0825679963308,walking
1.3677184008680001,-0.5896295367930401,-2.284647418444,walking
1.5029059653360002,-0.7138026631370401,-2.5256574152719997,walking
1.614797576528,-0.9055528501810401,-2.7253614644999997,walking
1.73624964554,-1.1391354973410401,-3.00162820706,walking
1.85185416852,-1.39352178346104,-3.36716841386,walking
1.9195388881280002,-1.59812905046104,-3.75675475706,walking
1.9756945239880002,-1.70939810861304,-4.098229882419999,walking
2.0029122135839996,-1.76329480137304,-4.38875538776,walking
1.9497675078680001,-1.79846019017304,-4.566179393600001,walking
1.8637812547200001,-1.83227891845304,-4.66111008576,walking
1.801159153816,-1.96307651330504,-4.709885523880001,walking
1.751415978096,-2.21269831270504,-4.761703128,walking
1.7341223524840002,-2.49875479698504,-4.79051727116,walking
1.728356834128,-2.7598118498810402,-4.7428191708,walking
1.7216822666959999,-2.99708072797304,-4.620104100304,walking
1.70600021558,-3.21165936289304,-4.437775870988,walking
1.659990352584,-3.41427913789304,-4.234519451136,walking
1.593629015766,-3.59965080789304,-4.01536545766,walking
1.5338012875472,-3.84785318400504,-3.819995458224,walking
1.4389538597152,-4.14715652948904,-3.6346043637839993,walking
1.2976908364312,-4.4238864650480005,-3.4168885046920003,walking
1.1517938479512,-4.6627606494,-3.1931542234480004,walking
0.9994115722712,-4.87707462184,-2.9524078892879997,walking
0.8128582618712001,-5.055338568520001,-2.6670617774079997,walking
0.5911172613512001,-5.21425289744,-2.333668533168,walking
0.32705780939120005,-5.359830663,-1.9649297824879997,walking
0.016173655711200042,-5.474356520880001,-1.5590456237279997,walking
-0.3168614231688,-5.490770052800001,-1.181000397808,walking
-0.7206464081288,-5.4403293978,-0.7546532880479998,walking
-1.1678336727288,-5.37218826208,-0.29391982568799985,walking
-1.5967411846488,-5.35207394548,0.16757847583200014,walking
-2.0176764390088,-5.38433613328,0.6202695607920001,walking
-2.4180984446888,-5.42607601444,1.0711759118320001,walking
-2.8069455828928,-5.4540531871999995,1.485332278632,walking
-3.2034207413847997,-5.49732314436,1.867639820672,walking
-3.6124828735607997,-5.543191545679999,2.2239199557519997,walking
-4.0323043970808,-5.5395429299200005,2.553776219272,walking
-4.4454793203888,-5.45225957724,2.857130281872,walking
-4.8362321831368,-5.27703749252,3.131252850432,walking
-5.2054875937928,-4.999833838912,3.3781243768960003,walking
-5.5713721080287995,-4.635272923792,3.5956896585,walking
-5.912848964192801,-4.2231199534320005,3.773040667688,walking
-6.2414575955748,-3.776169009872,3.915572794052,walking
-6.570097825316,-3.307685016432,4.025599757416,walking
-6.867283239124,-2.831030965832,4.071931521336,walking
-7.130300191,-2.350878900352,4.059054970136001,walking
-7.358703731199999,-1.879754468032,4.005471758324,walking
-7.53753757088,-1.4303744507920002,3.924761839616,walking
-7.664256393680001,-1.012239965912,3.8122405943759996,walking
-7.751811782240001,-0.6234429967920001,3.6639422655280005,walking
-7.79094572308,-0.256345512752,3.4858594890200005,walking
-7.780125976760001,0.09172873340799997,3.266833958876,walking
-7.72567614328,0.39960811992799994,3.0171116808760003,walking
-7.610009575480001,0.6673661345679999,2.7452834603160006,walking
-7.444643674400001,0.917333925408,2.456197983836,walking
-7.25701198544,1.171192781008,2.165066350276,walking
-7.0602986818,1.442910997888,1.8814867991960003,walking
-6.86089114484,1.7373549797280001,1.597811540876,walking
-6.653717792199999,2.062735667448,1.314330363316,walking
-6.42785138224,2.412900223088,1.029465664396,walking
-6.18530230468,2.766037011968,0.7478881297559999,walking
-5.93212519932,3.095122121288,0.4659902553960001,walking
-5.67949218912,3.368018809408,0.17050874359600005,walking
-5.43322206048,3.569097094688,-0.13571623172399996,walking
-5.1951925766,3.6854623462799996,-0.44063127288399995,walking
-4.95333697884,3.721379266,-0.7380802616440001,walking
-4.7099955802,3.69995020296,-0.9975642147239999,walking
-4.45181553868,3.6467491709999997,-1.213954135844,walking
-4.193954263959999,3.5911638784,-1.393010660884,walking
-3.95803366028,3.5300568495599998,-1.5181919641639998,walking
-3.7386871530400003,3.4639700512399996,-1.6034211490960002,walking
-3.53420201096,3.400403052,-1.665940157728,walking
-3.3551632380400003,3.361211902,-1.7291444424999998,walking
