x-g,y-g,z-g,label
0.2241928462,-0.1302660245,-0.7506199372,walking
0.1728384322,-0.24647505014999999,-0.5687431714,walking
0.030442383233333332,-0.20679409056666667,-0.4407175076,walking
-0.1162641905,-0.032841544525000016,-0.43058589085,walking
-0.21472301732000001,0.18497158017999998,-0.5713171742800001,walking
-0.2606981098666667,0.34402322315,-0.7871841360666666,walking
-0.21767015183714286,0.2506899320857143,-0.8475596726285713,walking
-0.23987781032,0.31083889776249995,-0.6432500744124999,walking
-0.2936705670511111,0.36529047225555555,-0.3472122783666667,walking
-0.331587581656,0.3875937408,-0.13794113833,walking
-0.29551164115636364,0.37480734728181814,-0.07121823625454544,walking
-0.23931243633500002,0.30196271474999997,-0.11724500621666667,walking
-0.19055087407076923,0.23438464993076924,-0.21046121696923076,walking
-0.18289770008214284,0.19648123105714285,-0.24914739488571427,walking
-0.20819129249666668,0.18180550774933332,-0.24257641922666667,walking
-0.244240838190625,0.17577101186875,-0.21059331904375,walking
-0.2826174554029412,0.1908557157764706,-0.1301975777470588,walking
-0.2874453613972222,0.18499299066944444,-0.04457407214999999,walking
-0.27622653739842107,0.13619079269210524,0.00410939230526317,walking
-0.2893830807485,0.0888377706925,0.04037441004500001,walking
-0.3494331922842857,0.08332143087428572,0.1310493563761905,walking
-0.4499617894077273,0.08973119866181817,0.17174643799545455,walking
-0.4327359628756522,0.10932845450260868,0.1761306433173913,walking
-0.3637458753391667,0.14051202738166665,0.15041453062083335,walking
-0.2750518548056,0.13156366197,0.08483360315600003,walking
-0.2029651144536,0.09552423135,0.045835598364,walking
-0.19390350601759998,0.070597515938,0.137536826548,walking
-0.21777136961359997,-0.04160605008599999,0.318274005068,walking
-0.1971048712076,-0.22366970459000002,0.47880620009200003,walking
-0.19727773829159997,-0.37443972751000004,0.676364017132,walking
-0.23056120950759998,-0.5289663759900001,0.8150280934119999,walking
-0.3701734731612,-0.5205050573292,0.894063083052,walking
-0.5670236835332,-0.5090908011892,0.9128717982479999,walking
-0.7952750616572,-0.5250964664572,0.85834709702,walking
-0.7001353490532,-0.5850741289852001,0.6208741979,walking
-0.2125474904068001,-0.6857545520292,0.23544054724000005,walking
-0.2555796296148001,-0.8527960078652,0.06369795343200008,walking
-0.28040953559480003,-1.0380689066692,0.05522674131200007,walking
-0.26521658652560004,-1.2370423346172001,0.16275280378400006,walking
-0.17511019811360004,-1.5563241541948,0.17803370667200005,walking
-0.03419414860960007,-2.0073846847412,0.04260494160400006,walking
0.08424163714239995,-2.3858791639132,-0.17058727759599993,walking
0.20346555739439992,-2.7319241923871997,-0.44627301739599995,walking
0.2874341001711999,-3.1190173179512,-0.7536720434559999,walking
0.32554429882319996,-3.5328574204592003,-1.0426148712599999,walking
0.3423460391031999,-3.9372937266396004,-1.2732501299399999,walking
0.3786131836631999,-4.334011088487601,-1.3129899592759997,walking
0.28001052191,-4.8056574434076,-1.134100758172,walking
0.05260127730999994,-5.2863096211516,-0.8047617627559999,walking
-0.2729843143700001,-5.5789265585952,-0.34217854531599984,walking
-0.6223802651700001,-5.731923856115199,0.18293119416400014,walking
-0.929528200094,-5.9034183525512,0.6046789542040001,walking
-1.26621469559,-5.9542102731512,0.9230808028840002,walking
-1.7114179003280003,-5.832551326711199,1.1898928550840002,walking
-2.1519323690600003,-5.592073882591199,1.2876400340840002,walking
-2.51289758574,-5.2624271248312,1.2892432470440003,walking
-2.76654111178,-5.0540027603599995,1.2439539890400002,walking
-2.96770184262,-4.8377801281199995,1.1345634834,walking
-3.2073654828600002,-4.5069391116599995,1.0661619361080001,walking
-3.80742258734,-4.01742244944,1.143175332788,walking
-4.797644909340001,-3.43614726808,1.242170962508,walking
-5.2348260328,-2.7158736317199996,1.0523846563880002,walking
-5.590969740664,-2.0019881018000003,0.6446840835480002,walking
-5.877742538084,-1.36520402768,0.07275325578800022,walking
-6.143985071364,-0.6773612946400001,-0.3609011426999998,walking
-6.434793277883999,0.13473689951999993,-0.5701621384599999,walking
-6.725658693604,0.92150572716,-0.7404027462999998,walking
-6.9795713670040005,1.6254066218,-0.8517465026599998,walking
-7.115453501804001,2.286138529,-0.8885145664999999,walking
-7.1345412461352,3.01359006692,-0.9162207792599999,walking
-7.056997506983199,3.63608843416,-1.04223552714,walking
-6.9648375764112,4.14287777124,-1.4257982091239998,walking
-6.815406039611201,4.68730769968,-1.949355325844,walking
-6.6198658160232,5.196056157959999,-2.519628514764,walking
-6.2222221265832,5.477708770832001,-2.967052919164,walking
-5.878540262023199,5.785051324512,-3.464988238444,walking
-5.4884258216632,5.920052201992,-3.9778429390600003,walking
-5.006347168743201,6.343541648792,-4.22859413986,walking
-4.3841989562632,6.363199946876,-4.4338213053799995,walking
-3.6801214525032004,6.050687250036,-4.62811299638,walking
-3.0395984815432002,5.621324216636,-4.65127557174,walking
-2.5337788701032,5.306664480676,-4.6585705521400005,walking
-2.1341595703672,5.054721102748,-4.74704891202,walking
-1.7669691858471999,4.728671011204,-4.945942583939999,walking
-1.4996628335672,4.360754250204,-5.04559899578,walking
-1.3702228103272,3.947134938404,-4.83006438786,walking
-1.2799540562072,3.37899812332,-4.464854057568,walking
-1.3034095536872001,2.7813313254400005,-4.022357645796,walking
-1.4450100314072,2.412840064,-3.4447766535559996,walking
-1.6331470250872,2.13255264736,-2.7883533959160003,walking
-1.8007608297672,1.6958280864,-2.326991989396,walking
-2.0158374661672003,1.2599782016719998,-2.048343266596,walking
-2.1187698390472,0.7386989145520001,-1.7832628790760001,walking
-2.1810684134872,0.205743404352,-1.3902507691559998,walking
-2.126930657592,-0.475641429968,-0.9554942523159998,walking
-2.000445255664,-1.172636692808,-0.4966708180359998,walking
-1.777623280396,-1.7080015833279998,0.07857092544400025,walking
-1.516399248596,-2.029574803928,0.5245452670040003,walking
-1.2219892741840002,-2.251322762648,0.8170743500240002,walking
-0.9660913074640001,-2.4510617080399997,0.9121338855840001,walking
-0.617878552624,-2.8423316751600005,1.0246895358240002,walking
-0.261007872024,-3.0063374788000004,1.0577939887080001,walking
0.15275846193599996,-3.4662467176000002,0.7882546549040002,walking
0.513378681056,-3.564799765724,0.5271225413040002,walking
0.8320838364959999,-3.4442281441239997,0.4425793692760002,walking
1.161483245536,-3.315080504884,0.3651109598120002,walking
1.538616259136,-3.2665299155639995,0.3399499523360002,walking
1.9372206695199998,-3.289200298628,0.46022372846000015,walking
2.32661604268,-3.295149706068,0.7205348344920002,walking
2.74525004348,-3.3680906398320003,0.9479691285240002,walking
3.1635045365999996,-3.4702067180600005,1.0173281515560002,walking
3.48055362024,-3.491114536896,0.9846069573440002,walking
3.72513837084,-3.423086521396,0.9359773896920003,walking
3.99662847604,-3.545517452276,0.7443777100120001,walking
4.27472635604,-3.725617319396,0.41437683317200025,walking
4.49117292496,-3.751574384356,0.16428318685200025,walking
4.697769040440001,-3.7591399125040006,0.14498691913200024,walking
4.6944506286,-3.589567512792,0.17421151345200023,walking
4.5195323652,-3.389026422952,0.032454470612000234,walking
4.15396645404,-3.119491883712,-0.17304277770799978,walking
3.6662179666399997,-2.734019805072,-0.4445037872679998,walking
3.11319383,-2.394628229672,-0.7670431608279997,walking
2.59043167732,-2.334995891992,-0.9527027125879998,walking
2.0835408326000002,-2.3658307861120003,-0.9719524891119997,walking
1.5721870304399999,-2.249406524432,-0.8929251885519998,walking
1.09974733148,-2.0036105582159998,-0.8848768704319997,walking
0.5753452568399999,-1.815844114296,-0.9502618011799997,walking
-0.029774466280000064,-1.6070853242,-1.0369772956959997,walking
-0.6024694841160001,-1.37906419188,-1.0761174112159997,walking
-1.139647479188,-1.12634895812,-1.087098996764,walking
-1.7474323576680002,-0.89757676268,-0.9662098421399997,walking
-2.304805688508,-0.850992954512,-0.8280476791799998,walking
-2.736544433948,-0.9819486200799998,-0.6993659227039997,walking
-3.0109190642840002,-1.1860672732559998,-0.6640913663759997,walking
-3.152148078696,-1.4035578800519999,-0.6853109938399997,walking
-3.1551765358960004,-1.6125484771840002,-0.6005667594319998,walking
-3.064479341872,-1.7791815751439999,-0.3548315691519997,walking
-2.858209635472,-1.929627557044,-0.034514932751999794,walking
-2.612948338632,-1.991032864044,0.2561740256480002,walking
-2.391920639992,-1.967352272164,0.4678109556480002,walking
-2.1773467471520003,-1.8649848689479998,0.6153854167080002,walking
-1.888839794192,-1.8335791930119998,0.6258162413080002,walking
-1.5412333486320002,-1.8394363021536,0.5729143763080002,walking
-1.151435885832,-1.7414398212456002,0.5056563806280002,walking
-0.7275658203520001,-1.5828943463896,0.39461324134800024,walking
-0.28394149815200015,-1.4218115307895998,0.3113158653880002,walking
0.13783195456799985,-1.2484574443496,0.29280476174800024,walking
0.4909354728079999,-0.9837234927095999,0.24811282018800018,walking
0.9047385274079999,-0.7612896790136,0.33365301265200015,walking
1.387566103368,-0.8845522126535998,0.5471356513320003,walking
1.7705634940879997,-1.0887466662296,0.6823998991320002,walking
2.121317601088,-1.2118532896696,0.9855324107320002,walking
2.4264952991679998,-1.3497475215256,1.2506595876520001,walking
2.666189701684,-1.5597796714856,1.38150620556,walking
2.8196653599159998,-1.8179370492056,1.3769689065360005,walking
3.006109631436,-2.0408758284456003,1.2013405104960002,walking
3.1302810445560003,-2.1785924686535996,0.9884578662960002,walking
2.915867189956,-2.2263416268936,0.5783613265760001,walking
0.9630935818120002,-1.9952036713736,-0.551156360544,walking
-0.6765094492559998,-2.1606222442136,-1.243100073312,walking
-0.7097444295159998,-2.4302626646536,-1.294721702152,walking
-0.6179005088199997,-2.3672403686536,-1.357433019872,walking
-0.6075048259399998,-2.1498326812136,-1.687285424192,walking
-0.5896547032599997,-1.9360086352936,-2.0618876925919998,walking
-0.5168721179399999,-1.7856998290535997,-2.240720690272,walking
-0.3909674380599998,-1.7283453327096001,-2.316014140172,walking
-0.2837638612199998,-1.6402516728496002,-2.2782318416839997,walking
-0.26587628129999985,-1.4861040292199998,-2.20440552836,walking
-0.2680488142999998,-1.3529450831279999,-2.089727034748,walking
-0.27897354153999987,-1.265869821144,-1.9287104315319998,walking
-0.28434455993999974,-1.248897412304,-1.758118593152,walking
-0.3032909068999998,-1.263721343584,-1.6077231896539999,walking
-0.37225424885999986,-1.255673960984,-1.493804845782,walking
-0.5542703187039998,-1.17108626824,-1.605090001318,walking
-0.9169843322599998,-0.8320567992800001,-1.9655807397819998,walking
-1.2386632062039997,-0.49257709471999994,-2.20792060393,walking
-1.5047536768199998,-0.22927879823999997,-2.501306918014,walking
-1.7216043409559998,-0.022670333359999982,-2.691151170014,walking
-1.9205422996679997,0.14612919308000002,-2.770425088602,walking
-2.0905646075599993,0.27080029756,-2.755271725174,walking
-2.2171932662679996,0.40037850235999994,-2.6793605520299995,walking
-2.262397470672,0.60565571992,-2.5691152083219997,walking
-1.9850014319679996,0.8555726400399999,-2.271541048206,walking
-0.002633404799999821,0.87038525112,-1.203666440722,walking
1.6364055380640001,1.30370844,-0.534723639498,walking
1.634937541952,1.8765442062400002,-0.6026756762659998,walking
1.5226219550000002,2.09917558564,-0.7530065615819999,walking
