x-g,y-g,z-g,label
0.4649247611,0.6092275384,-0.9790788388,1.0
0.4122939365,0.7237629448,-0.76932722655,1.0
0.3917565051333333,0.7573698655,-0.6712893980666667,1.0
0.386636007025,0.751920284875,-0.6335639423,1.0
0.3672369372,0.7112082419,-0.60080047272,1.0
0.32684884215,0.6860450417,-0.5854364848,1.0
0.3291966436714286,0.6285570968714286,-0.5823163548428572,1.0
0.4180095623375,0.483080183025,-0.4914565752375,1.0
0.35390578898888886,0.5824671712444444,-0.4915440398444445,1.0
0.27027493544,0.59489197826,-0.445634489714,1.0
0.24741392025999998,0.5984586947545455,-0.3909593502490909,1.0
0.26560468512166663,0.5766136211083334,-0.3944563351533334,1.0
0.30143093291230766,0.5297234194484616,-0.3888499160876923,1.0
0.34282085974000004,0.48586997834071427,-0.36483117341642857,1.0
0.36735998209066667,0.46469711440466666,-0.3398871463504,1.0
0.3839810102225,0.454314129516875,-0.31448686591975,1.0
0.38402388917999997,0.45950041525117646,-0.301295190555647,1.0
0.37939097182555553,0.46352663501499997,-0.30618204116366665,1.0
0.38163168961894733,0.46319354290368425,-0.31852497997610524,1.0
0.36985955639299994,0.4604760386585,-0.32754695829229996,1.0
0.3555177461471428,0.4567040736271429,-0.3342276263164762,1.0
0.3336169858222727,0.455348609935,-0.3236989880611818,1.0
0.30653535213869565,0.4468024761204347,-0.2763615548802609,1.0
0.29557456802625,0.43015660777125,-0.22111384859358332,1.0
0.3018307726452,0.4144926050608,-0.19970107882583998,1.0
0.2946966111412,0.39109132296519994,-0.17058496204183998,1.0
0.2971093068052,0.3497823816012,-0.15452411075384,1.0
0.3069361023492,0.2981327095212,-0.13923588715184,1.0
0.32208471198120003,0.24234987458520002,-0.13359133599584,1.0
0.3456153403332,0.19417182307720002,-0.15524565717983999,1.0
0.3753314925452,0.15464745192919999,-0.20257624833184,1.0
0.3844109846932,0.1316562701492,-0.24226382696784,1.0
0.33593017021719995,0.1425720628292,-0.25882842757583996,1.0
0.3014538114492,0.0727294809212,-0.18392098746784,1.0
0.2875369996532,0.0160122843132,-0.11468123008624,1.0
0.2758673605428,-0.0475295719028,-0.10079023375023997,1.0
0.2545542711848,-0.1069107716628,-0.10905819668623998,1.0
0.2248284067508,-0.157537870964,-0.14300032459424,1.0
0.18929069062523995,-0.2123884375216,-0.19938935208664,1.0
0.15962293289644,-0.2834551808136,-0.2648710103896,1.0
0.12436244788044,-0.3613687446616,-0.3366243688112,1.0
0.09223578686444,-0.4442918403416,-0.4176236253019999,1.0
0.05986146703243999,-0.5201157496616,-0.5002110323619999,1.0
0.020457478360439995,-0.5988186408576,-0.5682685996579999,1.0
-0.004575153879560006,-0.6950199680576,-0.618245570446,1.0
-0.014200109384760004,-0.8005057381776001,-0.675296339014,1.0
-0.000686995208760004,-0.9108695011936,-0.764679941426,1.0
0.022151322811239993,-1.0079323688416,-0.89769212243,1.0
0.022366453569639996,-1.0816589520712,-1.02899368879,1.0
-0.0022532245463600053,-1.1464496916716,-1.105334117734,1.0
-0.02697810576636001,-1.206524324432,-1.135630553486,1.0
-0.05626866838636,-1.2567161803959999,-1.150894101838,1.0
-0.08672016643436001,-1.299515600432,-1.162531183652,1.0
-0.11463507216676001,-1.339865914176,-1.1739792834560001,1.0
-0.13119446290676,-1.391863027828,-1.183529119776,1.0
-0.13028869411876,-1.4683118758679998,-1.196090786736,1.0
-0.13019030887076,-1.537760495764,-1.227855926096,1.0
-0.11305568659476002,-1.588197794448,-1.3153200513280001,1.0
-0.06491122735076,-1.6296030277400002,-1.4735901223280001,1.0
-0.038491495590760004,-1.647248568028,-1.651363557768,1.0
-0.04084625119476001,-1.6483128022079998,-1.7957397789999998,1.0
-0.047454195448760006,-1.6463866007280001,-1.8969887151400002,1.0
-0.057924412754760006,-1.649112408968,-1.9687246021000002,1.0
-0.0714952915772,-1.6576127870480002,-2.0265628035,1.0
-0.0926628525084,-1.6540341507279999,-2.06448024286,1.0
-0.1213728597004,-1.6246836424559998,-2.07245371662,1.0
-0.1521226885444,-1.588089322776,-2.04726819174,1.0
-0.17373526642440001,-1.5743272458159998,-1.99284857666,1.0
-0.1780771397964,-1.576027469936,-1.9405651365839998,1.0
-0.18235433711639998,-1.5549157645360001,-1.905632326616,1.0
-0.2000007194004,-1.513374121536,-1.867971954264,1.0
-0.2271870912964,-1.4588228622239998,-1.826032893544,1.0
-0.2552217597004,-1.3941900032919998,-1.789917121664,1.0
-0.28481447718840003,-1.319427790462,-1.7741485843840001,1.0
-0.3191914098924,-1.220153973634,-1.775429756104,1.0
-0.34601417269240003,-1.100533366594,-1.7939660144240002,1.0
-0.37260300008040004,-0.957695044954,-1.839532336908,1.0
-0.4138270632724,-0.7935765420740001,-1.9031087150919999,1.0
-0.46515249556,-0.627631988834,-1.9624837986440002,1.0
-0.51148648728,-0.472916726714,-2.0043490207240002,1.0
-0.554965763068,-0.31022424275400007,-2.014146708804,1.0
-0.583661663852,-0.15182268543400002,-2.012023818684,1.0
-0.580225126572,-0.0066744212340000076,-2.027871433724,1.0
-0.552189879296,0.13305416984600002,-2.0347272005240002,1.0
-0.47502526192000005,0.24987518852600005,-2.0297101959240003,1.0
-0.35898878758400005,0.329591571734,-2.009533653244,1.0
-0.232753272236,0.38473583809800005,-1.975465786804,1.0
-0.092952450472,0.444964340346,-1.9208163527639999,1.0
0.047606041776,0.521495604882,-1.8258472092879998,1.0
0.187504897956,0.571854100642,-1.7166128944599999,1.0
0.32793228395599994,0.5647822324499999,-1.6122964154639998,1.0
0.461389133996,0.5286034042100001,-1.503514979184,1.0
0.5899330715960001,0.50370632249,-1.3998250176240001,1.0
0.6991650943240001,0.48749273609,-1.28637212382,1.0
0.7742167618799999,0.42902919249,-1.1401141048680001,1.0
0.8051078711440001,0.31641197689000006,-0.95630150138,1.0
0.7786335029839999,0.16646137109800005,-0.73035231826,1.0
0.6990308422439999,-0.00714853687399998,-0.47010647882,1.0
0.577222300676,-0.206849726824,-0.16995687750000002,1.0
0.41645592463599995,-0.450250591652,0.15958197574,1.0
0.17121743195600003,-0.737197203412,0.5350071812599999,1.0
-0.14653376197599996,-1.069110821412,0.9763406813399998,1.0
-0.5044609407759999,-1.445025883252,1.48383963658,1.0
-0.915906877696,-1.851959090972,2.05045179018,1.0
-1.410746774704,-2.240689173772,2.65324747314,1.0
-1.9447580813919998,-2.657512315292,3.32940258114,1.0
-2.5446517681159997,-3.099358271172,4.00706727642,1.0
-3.210852810116,-3.517436587692,4.71871945082,1.0
-3.896971035556,-3.897294514772,5.42822901798,1.0
-4.628255213036,-4.245224264571999,6.0758147001800005,1.0
-5.352194609396,-4.558627176572,6.66579667782,1.0
-6.032009653476,-4.8412796106960005,7.1689938600200005,1.0
-6.666467611756,-5.119227164624,7.5787916186999995,1.0
-7.237979802196,-5.37272841036,7.893887849264001,1.0
-7.749793838796,-5.538485671439999,8.137187101196,1.0
-8.202765660315999,-5.584474349999999,8.3511416102,1.0
-8.599504387876,-5.462321255400001,8.55171783012,1.0
-8.984596935396,-5.1566456377200005,8.73370023172,1.0
-9.351051132155998,-4.69143428408,8.85904446768,1.0
-9.586905054236,-4.1139544838,8.85623393332,1.0
-9.59999025748,-3.4799737636000003,8.65879918848,1.0
-9.40088573496,-2.878823417,8.26536144804,1.0
-9.02137842448,-2.3474975726,7.7270068059999995,1.0
-8.47454120336,-1.8955993466799999,7.08613690792,1.0
-7.78746833824,-1.5320070462400002,6.37384574992,1.0
-6.964471098080001,-1.2218627758,5.63289631204,1.0
-6.069003256279999,-0.9245145638000001,4.91215342492,1.0
-5.16104789028,-0.615241037352,4.229859091360001,1.0
-4.243126109079999,-0.26914153622400006,3.5720649072399997,1.0
-3.30208270628,0.10200727301599995,2.93350494024,1.0
-2.37913332548,0.542976210896,2.23493091744,1.0
-1.4253429457199998,1.023044918496,1.5309124703599999,1.0
-0.4511891463199999,1.476436464816,0.79971690152,1.0
0.5126952582400002,1.893540085576,0.049075587039999945,1.0
1.493601586,2.281239356856,-0.66501282936,1.0
2.43804285264,2.642797644896,-1.3397273937599998,1.0
3.33343105532,2.999555871696,-1.943090292,1.0
4.17776244672,3.362742632656,-2.47291829028,1.0
4.97575016328,3.697703223056,-2.94460165792,1.0
5.74358521548,4.003432401255999,-3.3468113796,1.0
6.46046718616,4.263419746976,-3.72127946608,1.0
7.13302854856,4.365042238336,-4.1265761668000005,1.0
7.79133706552,4.285946075136,-4.520895059280001,1.0
8.431611904,4.057143941935999,-4.86120560644,1.0
8.97166317412,3.7433586922959994,-5.1121630619600005,1.0
9.32827624968,3.4073746286159996,-5.201350923,1.0
9.51792797628,3.1251501113759996,-5.11126718668,1.0
9.57015729456,2.9158743338560003,-4.880133101999999,1.0
9.4904770062,2.791905865896,-4.55547799516,1.0
9.31172044348,2.773885250136,-4.1749822888,1.0
9.07182174524,2.8345041650960003,-3.8074739324399998,1.0
8.820455557479999,2.9397540584960002,-3.5096787943599996,1.0
8.592520192,3.0699961795679998,-3.290914693216,1.0
8.407679274,3.2013299758000007,-3.1391419430080005,1.0
8.263665696959999,3.31566061856,-3.0411702309040005,1.0
8.14858795548,3.4011467593600004,-2.957619892684,1.0
8.057559391,3.4636805321999997,-2.8627603084840003,1.0
7.986879183719999,3.5283939365599997,-2.7404570164439996,1.0
7.9166951478,3.61027869536,-2.5702964570080002,1.0
7.76228742,3.70126278596,-2.2573401319679998,1.0
7.419427042432,3.7352107727600004,-1.748365035488,1.0
6.876582276752,3.5473463295200003,-1.156743533568,1.0
6.302409907152001,3.0438145346,-0.7668317810880001,1.0
5.798479343952,2.4151028338800002,-0.647640652048,1.0
5.095653144192,1.8112675859999998,-0.508362729256,1.0
3.9387736687520003,1.16812026756,0.011976734863999923,1.0
2.507296012032,0.57469847796,1.020479873984,1.0
1.199501490832,0.23136549336000006,2.287811709344,1.0
0.2478552152320002,0.02230111604000002,3.360053369904,1.0
-0.3902304958879999,-0.32644461272,3.926740882304,1.0
-0.8218749491279997,-0.90403260984,3.9955750768239993,1.0
-1.1893828141599998,-1.606447727,3.790922564064,1.0
-1.65669682656,-2.26715849048,3.5186634680639997,1.0
-2.3127879624,-2.7775750074400003,3.279840505304,1.0
-3.11454650168,-3.14231194716,3.033333605344,1.0
-3.9423592046399993,-3.36783558164,2.789538252264,1.0
-4.73438285488,-3.4887002539600003,2.636199793104,1.0
-5.466373750200001,-3.56037663968,2.57834695028,1.0
-6.13335965212,-3.6415722690800005,2.561734496072,1.0
-6.728170587959999,-3.7592107869599998,2.5408872719280002,1.0
-7.235488653680001,-3.907486796964,2.4961079145080003,1.0
-7.66352191332,-4.072583468852,2.438286102868,1.0
-8.022602677599998,-4.255045576014,2.385313235108,1.0
-8.3160466452,-4.4579419710821195,2.324329711152,1.0
-8.4840169429252,-4.65073401500212,2.151344513864,1.0
-8.4206125664372,-4.74113817872212,1.799549918232,1.0
-8.1251919826372,-4.58034064876212,1.371389072364,1.0
-7.7711393794372,-4.08324613540212,1.1385742289440002,1.0
