"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678240560401691E9,"2023-03-07 20:56:00.402 UTC-05:00"
"PAUSE",3.026183525001397E1,1.678240590663529E9,"2023-03-07 20:56:30.664 UTC-05:00"
