"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677537628001388E9,"2023-02-27 17:40:28.001 UTC-05:00"
"PAUSE",3.487726104166359E1,1.677537662878670E9,"2023-02-27 17:41:02.879 UTC-05:00"
