"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678240395366754E9,"2023-03-07 20:53:15.367 UTC-05:00"
"PAUSE",3.640884937497322E1,1.678240431775605E9,"2023-03-07 20:53:51.776 UTC-05:00"
