"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.676583452328935E9,"2023-02-16 16:37:32.329 UTC-05:00"
"PAUSE",4.776775616666782E1,1.676583500096098E9,"2023-02-16 16:38:20.096 UTC-05:00"
