"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.676583083844473E9,"2023-02-16 16:31:23.844 UTC-05:00"
"PAUSE",3.803653329166627E1,1.676583121880519E9,"2023-02-16 16:32:01.881 UTC-05:00"
