"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.676583298371919E9,"2023-02-16 16:34:58.372 UTC-05:00"
"PAUSE",3.806789825000305E1,1.676583336439330E9,"2023-02-16 16:35:36.439 UTC-05:00"
